No.,Source,Destination,Cost
1,0xec7f,0x0000,1
2,0xec7f,0x0112,7
3,0xec7f,0x1cd8,1
4,0xec7f,0x1e15,1
5,0xec7f,0x3d95,1
6,0xec7f,0x4e11,1
7,0xec7f,0xa706,3
8,0xec7f,0xe1a6,1
9,0x4e11,0x0000,1
10,0x4e11,0x0112,7
11,0x4e11,0x1cd8,1
12,0x4e11,0x1e15,3
13,0x4e11,0x3d95,2
14,0x4e11,0xa706,0
15,0x4e11,0xe1a6,1
16,0x4e11,0xec7f,1
17,0x1e15,0x0000,1
18,0x1e15,0x1cd8,1
19,0x1e15,0x3d95,1
20,0x1e15,0x4e11,3
21,0x1e15,0xa706,7
22,0x1e15,0xe1a6,1
23,0x1e15,0xec7f,1
24,0x0000,0x0112,7
25,0x0000,0x1cd8,1
26,0x0000,0x1e15,3
27,0x0000,0x3d95,3
28,0x0000,0x4e11,3
29,0x0000,0xa706,5
30,0x0000,0xe1a6,1
31,0x0000,0xec7f,1
32,0xe1a6,0x0000,1
33,0xe1a6,0x0112,7
34,0xe1a6,0x1cd8,1
35,0xe1a6,0x1e15,1
36,0xe1a6,0x3d95,1
37,0xe1a6,0x4e11,1
38,0xe1a6,0xa706,7
39,0xe1a6,0xec7f,1
40,0x3d95,0x0000,1
41,0x3d95,0x0112,7
42,0x3d95,0x1cd8,1
43,0x3d95,0x1e15,1
44,0x3d95,0x4e11,3
45,0x3d95,0xa706,5
46,0x3d95,0xe1a6,1
47,0x3d95,0xec7f,1
48,0xa706,0x0000,1
49,0xa706,0x0112,1
50,0xa706,0x1cd8,1
51,0xa706,0x1e15,0
52,0xa706,0x3d95,7
53,0xa706,0xe1a6,5
54,0xa706,0xec7f,1
55,0x0112,0x0000,1
56,0x0112,0x1cd8,1
57,0x0112,0x1e15,0
58,0x0112,0x3d95,7
59,0x0112,0x4e11,3
60,0x0112,0xa706,3
61,0x0112,0xe1a6,7
62,0x0112,0xec7f,1
63,0x1cd8,0x0000,1
64,0x1cd8,0x0112,3
65,0x1cd8,0x1e15,1
66,0x1cd8,0x3d95,1
67,0x1cd8,0x4e11,3
68,0x1cd8,0xa706,3
69,0x1cd8,0xe1a6,1
70,0x1cd8,0xec7f,1
