No.,Timestamp,Sequence Number,Attribute,Status,Data Type,Data Value
1,1778513758,139,Active Power,Success,16-Bit Signed Integer,0
2,1778513758,139,RMS Current,Success,16-Bit Unsigned Integer,0
3,1778513758,139,RMS Voltage,Success,16-Bit Unsigned Integer,221
4,1778513778,135,Active Power,Success,16-Bit Signed Integer,0
5,1778513778,135,RMS Current,Success,16-Bit Unsigned Integer,0
6,1778513778,135,RMS Voltage,Success,16-Bit Unsigned Integer,222
7,1778513838,110,Active Power,Success,16-Bit Signed Integer,0
8,1778513838,110,RMS Current,Success,16-Bit Unsigned Integer,0
9,1778513838,110,RMS Voltage,Success,16-Bit Unsigned Integer,218
10,1778513859,9,Active Power,Success,16-Bit Signed Integer,0
11,1778513859,9,RMS Current,Success,16-Bit Unsigned Integer,0
12,1778513859,9,RMS Voltage,Success,16-Bit Unsigned Integer,222
13,1778513873,12,Active Power,Success,16-Bit Signed Integer,0
14,1778513873,12,RMS Current,Success,16-Bit Unsigned Integer,0
15,1778513873,12,RMS Voltage,Success,16-Bit Unsigned Integer,219
16,1778513893,148,Active Power,Success,16-Bit Signed Integer,0
17,1778513893,148,RMS Current,Success,16-Bit Unsigned Integer,0
18,1778513893,148,RMS Voltage,Success,16-Bit Unsigned Integer,219
19,1778513917,39,Active Power,Success,16-Bit Signed Integer,0
20,1778513917,39,RMS Current,Success,16-Bit Unsigned Integer,0
21,1778513917,39,RMS Voltage,Success,16-Bit Unsigned Integer,219
22,1778513951,9,Active Power,Success,16-Bit Signed Integer,0
23,1778513951,9,RMS Current,Success,16-Bit Unsigned Integer,0
24,1778513951,9,RMS Voltage,Success,16-Bit Unsigned Integer,222
